Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter active	AUC - nonpromoter active	AUC - promoter inactive	AUC - nonpromoter inactive	AUC - random
23	valid	1.56, 1.71, 1.53, 1.32, 1.26	0.59, 0.00, 0.17, 0.85, 1.00	0.92, 1.00, 0.95, 0.55, 0.99	0.64, 0.64, 0.64, 0.65, 0.65	0.50, 0.50, 0.50, 0.50, 0.50	0.75, 0.67, 0.69, 0.53, 0.78	0.87, 0.73, 0.55, 0.79, 0.97	1.00, 0.99, 1.00, 1.00, 1.00
24	train	1.31, 1.72, 1.40, 1.41, 1.24	0.90, 0.00, 0.65, 0.34, 0.99	0.85, 1.00, 0.75, 0.89, 0.99	0.92, 0.90, 0.91, 0.93, 0.93	0.50, 0.50, 0.50, 0.50, 0.50	0.88, 0.73, 0.75, 0.50, 0.91	0.89, 0.76, 0.59, 0.79, 0.92	1.00, 1.00, 1.00, 1.00, 1.00
24	valid	1.33, 1.66, 1.45, 1.53, 1.23	0.96, 0.00, 0.56, 0.12, 1.00	0.66, 1.00, 0.80, 0.98, 0.99	0.88, 0.86, 0.88, 0.89, 0.90	0.50, 0.50, 0.50, 0.50, 0.50	0.78, 0.68, 0.70, 0.49, 0.80	0.72, 0.68, 0.56, 0.68, 0.73	1.00, 1.00, 1.00, 1.00, 1.00
25	train	1.30, 1.72, 1.40, 1.40, 1.24	0.90, 0.00, 0.61, 0.39, 1.00	0.86, 1.00, 0.75, 0.87, 0.99	0.92, 0.90, 0.92, 0.93, 0.94	0.50, 0.50, 0.50, 0.50, 0.50	0.89, 0.73, 0.76, 0.51, 0.91	0.91, 0.77, 0.57, 0.79, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
25	valid	1.28, 1.72, 1.43, 1.44, 1.23	0.94, 0.00, 0.62, 0.28, 1.00	0.80, 1.00, 0.76, 0.93, 1.00	0.93, 0.90, 0.92, 0.93, 0.96	0.50, 0.50, 0.50, 0.50, 0.50	0.85, 0.67, 0.73, 0.50, 0.87	0.86, 0.75, 0.58, 0.78, 0.88	1.00, 0.99, 1.00, 1.00, 1.00
26	train	1.29, 1.73, 1.40, 1.39, 1.23	0.91, 0.00, 0.58, 0.43, 1.00	0.86, 1.00, 0.77, 0.85, 0.99	0.93, 0.91, 0.92, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.89, 0.73, 0.76, 0.51, 0.91	0.91, 0.77, 0.58, 0.80, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
26	valid	1.29, 1.71, 1.39, 1.47, 1.23	0.93, 0.00, 0.72, 0.25, 1.00	0.82, 1.00, 0.73, 0.94, 1.00	0.92, 0.89, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.88, 0.72, 0.77, 0.51, 0.91	0.83, 0.72, 0.59, 0.75, 0.85	1.00, 1.00, 1.00, 1.00, 1.00
27	train	1.30, 1.72, 1.39, 1.40, 1.24	0.91, 0.00, 0.65, 0.38, 1.00	0.85, 1.00, 0.75, 0.89, 1.00	0.93, 0.91, 0.92, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.90, 0.74, 0.77, 0.51, 0.92	0.91, 0.78, 0.58, 0.80, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
27	valid	1.29, 1.68, 1.48, 1.51, 1.24	0.93, 0.00, 0.45, 0.24, 0.99	0.68, 1.00, 0.86, 0.94, 0.94	0.92, 0.89, 0.92, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.76, 0.68, 0.69, 0.52, 0.78	0.73, 0.67, 0.53, 0.67, 0.76	1.00, 0.99, 1.00, 1.00, 1.00
28	train	1.29, 1.71, 1.40, 1.40, 1.24	0.93, 0.00, 0.63, 0.37, 1.00	0.83, 1.00, 0.76, 0.89, 0.99	0.93, 0.91, 0.92, 0.94, 0.95	0.50, 0.50, 0.50, 0.50, 0.50	0.89, 0.75, 0.76, 0.51, 0.91	0.90, 0.79, 0.59, 0.80, 0.92	1.00, 1.00, 1.00, 1.00, 1.00
28	valid	1.37, 1.68, 1.46, 1.39, 1.23	0.87, 0.00, 0.23, 0.68, 1.00	0.77, 1.00, 0.93, 0.77, 0.99	0.86, 0.83, 0.85, 0.87, 0.87	0.50, 0.50, 0.50, 0.50, 0.50	0.81, 0.74, 0.73, 0.52, 0.84	0.86, 0.77, 0.54, 0.78, 0.91	1.00, 1.00, 1.00, 1.00, 1.00
29	train	1.29, 1.71, 1.41, 1.38, 1.23	0.93, 0.00, 0.47, 0.53, 1.00	0.83, 1.00, 0.83, 0.82, 1.00	0.93, 0.91, 0.92, 0.93, 0.94	0.50, 0.50, 0.50, 0.50, 0.50	0.88, 0.75, 0.76, 0.51, 0.90	0.92, 0.80, 0.56, 0.81, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
29	valid	1.27, 1.69, 1.41, 1.52, 1.24	0.95, 0.00, 0.72, 0.08, 1.00	0.75, 1.00, 0.73, 0.98, 1.00	0.93, 0.89, 0.92, 0.94, 0.96	0.50, 0.50, 0.50, 0.50, 0.50	0.86, 0.74, 0.75, 0.49, 0.88	0.79, 0.74, 0.56, 0.73, 0.81	1.00, 1.00, 1.00, 1.00, 1.00
30	train	1.30, 1.71, 1.42, 1.39, 1.23	0.92, 0.00, 0.51, 0.47, 1.00	0.82, 1.00, 0.81, 0.84, 1.00	0.92, 0.91, 0.92, 0.93, 0.94	0.50, 0.50, 0.50, 0.50, 0.50	0.87, 0.75, 0.75, 0.50, 0.90	0.91, 0.80, 0.57, 0.80, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
