Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter active	AUC - nonpromoter active	AUC - promoter inactive	AUC - nonpromoter inactive	AUC - random
65	valid	1.34, 1.37, 1.41, 1.44, 1.24	0.78, 0.70, 0.61, 0.51, 1.00	0.96, 0.87, 0.87, 0.95, 1.00	0.92, 0.90, 0.91, 0.93, 0.94	0.84, 0.86, 0.81, 0.85, 0.94	0.88, 0.78, 0.82, 0.66, 0.92	0.88, 0.84, 0.72, 0.84, 0.89	1.00, 1.00, 1.00, 1.00, 1.00
66	train	1.30, 1.35, 1.40, 1.36, 1.23	0.86, 0.76, 0.60, 0.68, 1.00	0.97, 0.92, 0.91, 0.93, 1.00	0.94, 0.93, 0.93, 0.94, 0.95	0.90, 0.89, 0.86, 0.88, 0.94	0.90, 0.84, 0.85, 0.73, 0.92	0.93, 0.91, 0.79, 0.89, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
66	valid	1.31, 1.40, 1.43, 1.40, 1.23	0.87, 0.64, 0.57, 0.59, 1.00	0.94, 0.92, 0.89, 0.94, 1.00	0.93, 0.90, 0.92, 0.94, 0.95	0.87, 0.85, 0.79, 0.83, 0.90	0.88, 0.79, 0.82, 0.68, 0.90	0.91, 0.86, 0.74, 0.87, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
67	train	1.30, 1.35, 1.39, 1.37, 1.23	0.87, 0.76, 0.64, 0.67, 1.00	0.97, 0.92, 0.91, 0.94, 1.00	0.94, 0.93, 0.93, 0.94, 0.95	0.90, 0.89, 0.86, 0.89, 0.94	0.90, 0.85, 0.85, 0.74, 0.92	0.93, 0.90, 0.81, 0.89, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
67	valid	1.29, 1.41, 1.46, 1.38, 1.25	0.89, 0.64, 0.51, 0.65, 0.99	0.92, 0.93, 0.92, 0.92, 1.00	0.94, 0.91, 0.93, 0.95, 0.96	0.87, 0.85, 0.80, 0.84, 0.91	0.86, 0.78, 0.81, 0.68, 0.89	0.94, 0.87, 0.75, 0.88, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
68	train	1.30, 1.35, 1.38, 1.37, 1.23	0.87, 0.76, 0.66, 0.66, 1.00	0.97, 0.92, 0.90, 0.95, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.90, 0.86, 0.89, 0.94	0.91, 0.85, 0.86, 0.75, 0.93	0.93, 0.90, 0.81, 0.89, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
68	valid	1.29, 1.46, 1.40, 1.38, 1.23	0.88, 0.52, 0.64, 0.62, 1.00	0.94, 0.95, 0.86, 0.93, 1.00	0.94, 0.91, 0.93, 0.95, 0.96	0.82, 0.82, 0.78, 0.81, 0.86	0.90, 0.78, 0.84, 0.71, 0.93	0.92, 0.87, 0.76, 0.88, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
69	train	1.30, 1.35, 1.38, 1.37, 1.23	0.87, 0.75, 0.67, 0.67, 1.00	0.97, 0.93, 0.90, 0.95, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.89, 0.86, 0.89, 0.93	0.90, 0.85, 0.86, 0.75, 0.93	0.92, 0.90, 0.82, 0.89, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
69	valid	1.28, 1.42, 1.45, 1.40, 1.23	0.90, 0.62, 0.54, 0.62, 1.00	0.92, 0.92, 0.91, 0.93, 1.00	0.94, 0.91, 0.93, 0.95, 0.96	0.85, 0.83, 0.78, 0.81, 0.88	0.85, 0.78, 0.80, 0.68, 0.87	0.91, 0.86, 0.77, 0.87, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
70	train	1.30, 1.34, 1.38, 1.36, 1.23	0.87, 0.78, 0.66, 0.68, 1.00	0.97, 0.92, 0.91, 0.95, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.90, 0.87, 0.89, 0.94	0.91, 0.86, 0.87, 0.77, 0.93	0.93, 0.91, 0.82, 0.90, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
70	valid	1.30, 1.42, 1.36, 1.46, 1.23	0.86, 0.59, 0.72, 0.47, 1.00	0.94, 0.93, 0.84, 0.97, 1.00	0.94, 0.91, 0.93, 0.94, 0.96	0.83, 0.84, 0.80, 0.82, 0.89	0.90, 0.80, 0.84, 0.70, 0.93	0.85, 0.82, 0.76, 0.82, 0.86	1.00, 1.00, 1.00, 1.00, 1.00
71	train	1.30, 1.35, 1.38, 1.36, 1.23	0.87, 0.76, 0.67, 0.70, 1.00	0.97, 0.92, 0.91, 0.95, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.89, 0.86, 0.89, 0.93	0.90, 0.85, 0.86, 0.76, 0.92	0.93, 0.91, 0.83, 0.90, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
71	valid	1.39, 1.37, 1.47, 1.36, 1.28	0.68, 0.73, 0.46, 0.69, 0.97	0.97, 0.88, 0.92, 0.88, 1.00	0.89, 0.87, 0.88, 0.90, 0.90	0.86, 0.86, 0.82, 0.84, 0.93	0.81, 0.80, 0.80, 0.71, 0.88	0.90, 0.88, 0.75, 0.88, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
72	train	1.30, 1.34, 1.38, 1.36, 1.23	0.87, 0.77, 0.66, 0.71, 1.00	0.97, 0.92, 0.92, 0.94, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.90, 0.87, 0.90, 0.94	0.91, 0.86, 0.87, 0.78, 0.93	0.93, 0.91, 0.84, 0.90, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
72	valid	1.30, 1.39, 1.40, 1.42, 1.29	0.86, 0.66, 0.62, 0.56, 0.98	0.94, 0.91, 0.88, 0.95, 1.00	0.94, 0.91, 0.93, 0.95, 0.96	0.87, 0.85, 0.80, 0.83, 0.90	0.88, 0.82, 0.84, 0.72, 0.92	0.88, 0.85, 0.77, 0.85, 0.90	1.00, 1.00, 1.00, 1.00, 1.00
73	train	1.30, 1.34, 1.38, 1.36, 1.23	0.86, 0.77, 0.67, 0.70, 1.00	0.97, 0.92, 0.91, 0.95, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.90, 0.90, 0.86, 0.90, 0.94	0.90, 0.85, 0.86, 0.77, 0.93	0.93, 0.91, 0.84, 0.90, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
73	valid	1.29, 1.45, 1.41, 1.37, 1.23	0.88, 0.56, 0.62, 0.66, 1.00	0.93, 0.95, 0.89, 0.93, 1.00	0.93, 0.91, 0.92, 0.94, 0.96	0.84, 0.83, 0.78, 0.82, 0.87	0.88, 0.79, 0.83, 0.71, 0.91	0.93, 0.87, 0.79, 0.89, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
74	train	1.30, 1.35, 1.38, 1.35, 1.23	0.87, 0.76, 0.67, 0.72, 1.00	0.97, 0.93, 0.91, 0.95, 1.00	0.94, 0.93, 0.93, 0.94, 0.95	0.90, 0.90, 0.86, 0.89, 0.94	0.90, 0.85, 0.87, 0.79, 0.93	0.94, 0.91, 0.85, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
74	valid	1.29, 1.33, 1.50, 1.47, 1.23	0.88, 0.80, 0.43, 0.49, 1.00	0.93, 0.84, 0.94, 0.96, 1.00	0.93, 0.91, 0.92, 0.94, 0.96	0.89, 0.87, 0.81, 0.84, 0.94	0.80, 0.75, 0.76, 0.66, 0.81	0.83, 0.80, 0.74, 0.80, 0.84	1.00, 1.00, 1.00, 1.00, 1.00
75	train	1.30, 1.34, 1.38, 1.35, 1.23	0.87, 0.77, 0.68, 0.72, 1.00	0.97, 0.92, 0.92, 0.95, 1.00	0.94, 0.92, 0.93, 0.95, 0.95	0.90, 0.90, 0.87, 0.89, 0.94	0.90, 0.85, 0.87, 0.79, 0.92	0.93, 0.91, 0.85, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
75	valid	1.29, 1.33, 1.59, 1.42, 1.27	0.87, 0.81, 0.28, 0.60, 0.95	0.91, 0.82, 0.97, 0.94, 1.00	0.93, 0.91, 0.92, 0.94, 0.94	0.89, 0.87, 0.80, 0.85, 0.94	0.71, 0.70, 0.69, 0.63, 0.73	0.87, 0.84, 0.76, 0.84, 0.88	1.00, 0.99, 1.00, 1.00, 1.00
76	train	1.30, 1.35, 1.38, 1.36, 1.23	0.87, 0.76, 0.69, 0.72, 1.00	0.97, 0.93, 0.92, 0.95, 1.00	0.94, 0.92, 0.93, 0.94, 0.95	0.89, 0.90, 0.86, 0.89, 0.94	0.90, 0.85, 0.87, 0.79, 0.93	0.93, 0.91, 0.85, 0.90, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
76	valid	1.32, 1.38, 1.44, 1.39, 1.23	0.83, 0.70, 0.54, 0.63, 1.00	0.95, 0.89, 0.91, 0.93, 1.00	0.92, 0.90, 0.91, 0.93, 0.94	0.87, 0.87, 0.81, 0.85, 0.93	0.86, 0.79, 0.82, 0.71, 0.90	0.92, 0.88, 0.78, 0.88, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
77	train	1.30, 1.34, 1.37, 1.35, 1.23	0.87, 0.77, 0.70, 0.73, 1.00	0.97, 0.93, 0.92, 0.95, 1.00	0.94, 0.93, 0.93, 0.94, 0.95	0.90, 0.90, 0.87, 0.90, 0.94	0.91, 0.86, 0.87, 0.80, 0.93	0.93, 0.91, 0.86, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
77	valid	1.30, 1.35, 1.49, 1.42, 1.24	0.87, 0.77, 0.46, 0.60, 1.00	0.94, 0.87, 0.94, 0.95, 1.00	0.93, 0.91, 0.92, 0.94, 0.95	0.89, 0.87, 0.80, 0.85, 0.92	0.80, 0.77, 0.77, 0.70, 0.82	0.86, 0.84, 0.77, 0.84, 0.87	1.00, 1.00, 1.00, 1.00, 1.00
78	train	1.30, 1.34, 1.38, 1.35, 1.23	0.87, 0.77, 0.70, 0.72, 1.00	0.97, 0.93, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.90, 0.87, 0.89, 0.94	0.90, 0.85, 0.87, 0.80, 0.92	0.93, 0.91, 0.86, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
78	valid	1.28, 1.61, 1.38, 1.36, 1.46	0.91, 0.26, 0.67, 0.66, 0.66	0.82, 0.99, 0.83, 0.91, 1.00	0.93, 0.91, 0.93, 0.95, 0.94	0.70, 0.70, 0.68, 0.70, 0.71	0.90, 0.76, 0.84, 0.75, 0.93	0.94, 0.86, 0.80, 0.89, 0.96	0.88, 0.88, 0.88, 0.88, 0.88
79	train	1.30, 1.33, 1.38, 1.35, 1.23	0.86, 0.79, 0.69, 0.73, 1.00	0.97, 0.92, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.90, 0.87, 0.90, 0.95	0.90, 0.86, 0.87, 0.80, 0.93	0.93, 0.91, 0.86, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
79	valid	1.35, 1.31, 1.49, 1.41, 1.26	0.75, 0.86, 0.43, 0.60, 0.99	0.97, 0.82, 0.94, 0.95, 1.00	0.91, 0.90, 0.91, 0.92, 0.93	0.90, 0.89, 0.83, 0.87, 0.96	0.80, 0.79, 0.79, 0.70, 0.85	0.89, 0.87, 0.77, 0.86, 0.91	1.00, 1.00, 1.00, 1.00, 1.00
80	train	1.30, 1.34, 1.37, 1.36, 1.23	0.87, 0.78, 0.70, 0.72, 1.00	0.97, 0.92, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.90, 0.87, 0.90, 0.94	0.91, 0.86, 0.87, 0.81, 0.93	0.93, 0.91, 0.86, 0.91, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
80	valid	1.46, 1.38, 1.43, 1.37, 1.23	0.61, 0.69, 0.57, 0.67, 1.00	0.98, 0.89, 0.89, 0.92, 0.96	0.82, 0.80, 0.81, 0.82, 0.83	0.87, 0.86, 0.81, 0.84, 0.91	0.84, 0.79, 0.81, 0.73, 0.89	0.91, 0.88, 0.79, 0.88, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
81	train	1.30, 1.34, 1.37, 1.35, 1.23	0.87, 0.78, 0.70, 0.73, 1.00	0.97, 0.92, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.90, 0.87, 0.90, 0.94	0.91, 0.86, 0.88, 0.81, 0.93	0.92, 0.91, 0.86, 0.91, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
81	valid	1.36, 1.49, 1.36, 1.38, 1.23	0.73, 0.48, 0.71, 0.66, 1.00	0.97, 0.96, 0.80, 0.93, 1.00	0.91, 0.89, 0.91, 0.92, 0.93	0.78, 0.78, 0.75, 0.78, 0.82	0.83, 0.78, 0.83, 0.76, 0.94	0.89, 0.85, 0.80, 0.87, 0.92	1.00, 1.00, 1.00, 1.00, 1.00
82	train	1.30, 1.33, 1.38, 1.35, 1.23	0.87, 0.80, 0.69, 0.72, 1.00	0.97, 0.92, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.91, 0.87, 0.90, 0.95	0.90, 0.86, 0.87, 0.80, 0.92	0.93, 0.91, 0.86, 0.91, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
82	valid	1.26, 1.50, 1.47, 1.46, 1.23	0.94, 0.44, 0.52, 0.51, 1.00	0.80, 0.95, 0.90, 0.96, 1.00	0.94, 0.90, 0.92, 0.95, 0.98	0.82, 0.80, 0.74, 0.78, 0.84	0.84, 0.72, 0.78, 0.68, 0.86	0.84, 0.80, 0.74, 0.81, 0.84	1.00, 1.00, 1.00, 1.00, 1.00
83	train	1.30, 1.34, 1.37, 1.35, 1.23	0.87, 0.78, 0.71, 0.72, 1.00	0.97, 0.92, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.90, 0.87, 0.90, 0.95	0.91, 0.86, 0.88, 0.81, 0.93	0.93, 0.91, 0.86, 0.91, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
83	valid	1.29, 1.58, 1.36, 1.38, 1.23	0.90, 0.29, 0.73, 0.62, 1.00	0.93, 0.99, 0.81, 0.93, 1.00	0.94, 0.91, 0.93, 0.95, 0.96	0.74, 0.73, 0.71, 0.72, 0.75	0.92, 0.76, 0.85, 0.74, 0.95	0.93, 0.84, 0.79, 0.88, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
84	train	1.30, 1.34, 1.37, 1.35, 1.23	0.86, 0.78, 0.70, 0.73, 1.00	0.97, 0.92, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.91, 0.88, 0.90, 0.95	0.91, 0.85, 0.88, 0.81, 0.93	0.93, 0.91, 0.86, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
84	valid	1.30, 1.33, 1.49, 1.42, 1.23	0.87, 0.80, 0.45, 0.60, 1.00	0.94, 0.86, 0.95, 0.95, 1.00	0.94, 0.91, 0.92, 0.95, 0.96	0.90, 0.88, 0.82, 0.86, 0.95	0.82, 0.78, 0.79, 0.71, 0.84	0.87, 0.85, 0.78, 0.85, 0.88	1.00, 1.00, 1.00, 1.00, 1.00
85	train	1.30, 1.35, 1.37, 1.35, 1.23	0.87, 0.76, 0.72, 0.74, 1.00	0.97, 0.93, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.90, 0.87, 0.90, 0.94	0.91, 0.86, 0.88, 0.82, 0.93	0.93, 0.91, 0.86, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
85	valid	1.30, 1.35, 1.50, 1.40, 1.23	0.87, 0.77, 0.46, 0.62, 1.00	0.94, 0.87, 0.94, 0.95, 1.00	0.93, 0.91, 0.92, 0.94, 0.95	0.89, 0.87, 0.82, 0.85, 0.93	0.80, 0.77, 0.77, 0.69, 0.82	0.88, 0.86, 0.77, 0.85, 0.89	1.00, 1.00, 1.00, 1.00, 1.00
86	train	1.30, 1.33, 1.38, 1.34, 1.23	0.88, 0.79, 0.70, 0.75, 1.00	0.97, 0.93, 0.93, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.91, 0.88, 0.90, 0.95	0.91, 0.86, 0.88, 0.81, 0.93	0.93, 0.91, 0.87, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
86	valid	1.31, 1.42, 1.38, 1.39, 1.23	0.86, 0.61, 0.67, 0.64, 1.00	0.95, 0.94, 0.87, 0.95, 1.00	0.93, 0.91, 0.93, 0.94, 0.95	0.85, 0.85, 0.81, 0.84, 0.89	0.89, 0.81, 0.85, 0.76, 0.94	0.91, 0.87, 0.81, 0.88, 0.92	1.00, 1.00, 1.00, 1.00, 1.00
87	train	1.30, 1.34, 1.37, 1.34, 1.23	0.87, 0.77, 0.71, 0.74, 1.00	0.97, 0.93, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.91, 0.87, 0.90, 0.94	0.91, 0.86, 0.88, 0.82, 0.93	0.93, 0.91, 0.87, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
87	valid	1.30, 1.46, 1.37, 1.38, 1.24	0.86, 0.54, 0.68, 0.66, 1.00	0.95, 0.96, 0.86, 0.93, 1.00	0.93, 0.91, 0.92, 0.94, 0.95	0.82, 0.82, 0.79, 0.82, 0.85	0.90, 0.81, 0.85, 0.76, 0.94	0.92, 0.87, 0.81, 0.88, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
88	train	1.30, 1.33, 1.36, 1.35, 1.23	0.87, 0.80, 0.72, 0.74, 1.00	0.97, 0.93, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.91, 0.91, 0.88, 0.91, 0.95	0.91, 0.87, 0.88, 0.82, 0.93	0.93, 0.91, 0.87, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
88	valid	1.30, 1.39, 1.46, 1.38, 1.23	0.88, 0.67, 0.52, 0.67, 1.00	0.94, 0.92, 0.92, 0.93, 1.00	0.93, 0.91, 0.92, 0.94, 0.95	0.86, 0.84, 0.79, 0.83, 0.89	0.83, 0.77, 0.79, 0.71, 0.85	0.91, 0.87, 0.79, 0.88, 0.92	1.00, 1.00, 1.00, 1.00, 1.00
89	train	1.30, 1.33, 1.37, 1.35, 1.23	0.88, 0.79, 0.71, 0.74, 1.00	0.97, 0.93, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.91, 0.91, 0.88, 0.90, 0.94	0.91, 0.86, 0.88, 0.82, 0.93	0.93, 0.92, 0.87, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
89	valid	1.31, 1.35, 1.46, 1.39, 1.24	0.86, 0.77, 0.52, 0.64, 1.00	0.95, 0.89, 0.93, 0.94, 1.00	0.93, 0.91, 0.92, 0.94, 0.95	0.89, 0.88, 0.82, 0.86, 0.93	0.84, 0.79, 0.81, 0.73, 0.87	0.91, 0.88, 0.80, 0.88, 0.92	1.00, 1.00, 1.00, 1.00, 1.00
90	train	1.30, 1.34, 1.36, 1.35, 1.23	0.87, 0.78, 0.73, 0.74, 1.00	0.97, 0.93, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.91, 0.91, 0.88, 0.90, 0.94	0.91, 0.87, 0.88, 0.82, 0.93	0.93, 0.92, 0.87, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
90	valid	1.28, 1.51, 1.37, 1.37, 1.25	0.90, 0.44, 0.70, 0.66, 0.99	0.93, 0.98, 0.85, 0.93, 1.00	0.94, 0.92, 0.93, 0.95, 0.96	0.78, 0.78, 0.75, 0.77, 0.80	0.90, 0.79, 0.85, 0.76, 0.93	0.92, 0.87, 0.81, 0.88, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
91	train	1.30, 1.34, 1.37, 1.35, 1.23	0.87, 0.78, 0.73, 0.73, 1.00	0.97, 0.93, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.96	0.91, 0.91, 0.88, 0.90, 0.94	0.91, 0.87, 0.88, 0.82, 0.93	0.94, 0.92, 0.87, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
91	valid	1.35, 1.61, 1.33, 1.36, 1.23	0.76, 0.22, 0.79, 0.65, 1.00	0.96, 0.99, 0.74, 0.93, 1.00	0.90, 0.88, 0.90, 0.91, 0.92	0.70, 0.70, 0.69, 0.70, 0.71	0.89, 0.76, 0.85, 0.78, 0.96	0.93, 0.87, 0.81, 0.89, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
92	train	1.30, 1.33, 1.37, 1.35, 1.23	0.88, 0.80, 0.71, 0.73, 1.00	0.97, 0.93, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.91, 0.91, 0.88, 0.91, 0.95	0.91, 0.86, 0.88, 0.81, 0.93	0.93, 0.91, 0.86, 0.91, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
92	valid	1.34, 1.48, 1.37, 1.36, 1.23	0.81, 0.49, 0.69, 0.67, 1.00	0.96, 0.96, 0.83, 0.93, 1.00	0.92, 0.90, 0.91, 0.93, 0.94	0.81, 0.81, 0.78, 0.81, 0.85	0.90, 0.78, 0.85, 0.76, 0.95	0.94, 0.88, 0.80, 0.90, 0.96	1.00, 1.00, 1.00, 1.00, 1.00
93	train	1.30, 1.34, 1.36, 1.34, 1.23	0.87, 0.77, 0.74, 0.75, 1.00	0.97, 0.94, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.91, 0.88, 0.91, 0.94	0.91, 0.87, 0.89, 0.83, 0.94	0.93, 0.91, 0.87, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
93	valid	1.29, 1.41, 1.40, 1.41, 1.23	0.90, 0.62, 0.63, 0.62, 1.00	0.93, 0.93, 0.89, 0.95, 1.00	0.94, 0.91, 0.93, 0.95, 0.96	0.86, 0.85, 0.81, 0.84, 0.90	0.88, 0.79, 0.83, 0.75, 0.90	0.87, 0.84, 0.79, 0.84, 0.87	1.00, 1.00, 1.00, 1.00, 1.00
94	train	1.30, 1.33, 1.37, 1.35, 1.23	0.87, 0.80, 0.71, 0.74, 1.00	0.97, 0.92, 0.93, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.91, 0.91, 0.88, 0.91, 0.95	0.91, 0.87, 0.88, 0.82, 0.93	0.93, 0.91, 0.87, 0.91, 0.93	1.00, 1.00, 1.00, 1.00, 1.00
94	valid	1.36, 1.38, 1.36, 1.41, 1.24	0.75, 0.66, 0.70, 0.60, 1.00	0.97, 0.91, 0.85, 0.96, 1.00	0.91, 0.89, 0.90, 0.92, 0.92	0.87, 0.87, 0.82, 0.87, 0.93	0.88, 0.81, 0.86, 0.77, 0.95	0.88, 0.85, 0.80, 0.86, 0.89	1.00, 1.00, 1.00, 1.00, 1.00
95	train	1.30, 1.34, 1.35, 1.35, 1.23	0.87, 0.76, 0.75, 0.74, 1.00	0.97, 0.94, 0.91, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.91, 0.88, 0.90, 0.94	0.92, 0.87, 0.89, 0.83, 0.94	0.93, 0.91, 0.87, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
95	valid	1.29, 1.53, 1.36, 1.40, 1.25	0.89, 0.39, 0.75, 0.61, 0.99	0.93, 0.98, 0.83, 0.95, 1.00	0.94, 0.92, 0.93, 0.95, 0.96	0.76, 0.76, 0.74, 0.76, 0.78	0.91, 0.78, 0.85, 0.75, 0.94	0.90, 0.85, 0.79, 0.86, 0.91	1.00, 1.00, 1.00, 1.00, 1.00
96	train	1.30, 1.33, 1.37, 1.34, 1.23	0.87, 0.80, 0.70, 0.76, 1.00	0.97, 0.92, 0.93, 0.96, 1.00	0.94, 0.93, 0.94, 0.95, 0.96	0.90, 0.91, 0.87, 0.90, 0.94	0.90, 0.86, 0.88, 0.82, 0.92	0.94, 0.92, 0.87, 0.92, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
96	valid	1.33, 1.48, 1.41, 1.35, 1.23	0.84, 0.51, 0.62, 0.73, 1.00	0.95, 0.96, 0.88, 0.91, 0.99	0.92, 0.89, 0.91, 0.93, 0.94	0.79, 0.79, 0.76, 0.78, 0.81	0.87, 0.78, 0.83, 0.76, 0.90	0.92, 0.88, 0.81, 0.89, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
97	train	1.30, 1.33, 1.36, 1.34, 1.23	0.87, 0.79, 0.73, 0.76, 1.00	0.97, 0.93, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.91, 0.88, 0.91, 0.94	0.91, 0.87, 0.89, 0.83, 0.93	0.94, 0.92, 0.88, 0.92, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
97	valid	1.32, 1.36, 1.43, 1.39, 1.27	0.82, 0.72, 0.56, 0.61, 1.00	0.96, 0.88, 0.90, 0.95, 1.00	0.92, 0.90, 0.92, 0.93, 0.94	0.88, 0.87, 0.80, 0.84, 0.93	0.85, 0.79, 0.82, 0.74, 0.90	0.91, 0.88, 0.80, 0.88, 0.92	1.00, 1.00, 1.00, 1.00, 1.00
98	train	1.30, 1.34, 1.36, 1.34, 1.23	0.88, 0.78, 0.73, 0.76, 1.00	0.97, 0.93, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.90, 0.90, 0.88, 0.90, 0.94	0.91, 0.87, 0.88, 0.83, 0.93	0.94, 0.92, 0.88, 0.92, 0.95	1.00, 1.00, 1.00, 1.00, 1.00
98	valid	1.31, 1.31, 1.55, 1.44, 1.24	0.85, 0.84, 0.35, 0.56, 1.00	0.94, 0.80, 0.96, 0.96, 1.00	0.93, 0.91, 0.91, 0.94, 0.95	0.90, 0.88, 0.80, 0.85, 0.95	0.74, 0.71, 0.72, 0.66, 0.76	0.84, 0.82, 0.77, 0.82, 0.85	1.00, 1.00, 1.00, 1.00, 1.00
99	train	1.30, 1.33, 1.36, 1.35, 1.23	0.87, 0.79, 0.74, 0.74, 1.00	0.97, 0.93, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.91, 0.91, 0.88, 0.90, 0.94	0.91, 0.87, 0.89, 0.83, 0.93	0.93, 0.92, 0.87, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
99	valid	1.30, 1.32, 1.49, 1.44, 1.31	0.86, 0.82, 0.45, 0.55, 0.82	0.90, 0.83, 0.94, 0.96, 1.00	0.92, 0.92, 0.93, 0.95, 0.87	0.90, 0.89, 0.82, 0.86, 0.95	0.80, 0.78, 0.78, 0.70, 0.83	0.86, 0.84, 0.78, 0.84, 0.86	1.00, 1.00, 1.00, 1.00, 1.00
100	train	1.30, 1.33, 1.36, 1.35, 1.23	0.86, 0.80, 0.74, 0.75, 1.00	0.97, 0.93, 0.92, 0.96, 1.00	0.94, 0.93, 0.93, 0.95, 0.95	0.91, 0.91, 0.89, 0.91, 0.95	0.91, 0.87, 0.89, 0.83, 0.93	0.93, 0.91, 0.87, 0.91, 0.94	1.00, 1.00, 1.00, 1.00, 1.00
