Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter	AUC - nonpromoter active	AUC - nonpromoter inactive	AUC - random
100	train	1.09, 1.12, 1.14, 1.04	0.89, 0.85, 0.80, 1.00	0.94, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.95	0.90, 0.91, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
100	valid	1.10, 1.22, 1.17, 1.04	0.86, 0.63, 0.71, 1.00	0.88, 0.95, 0.90, 1.00	0.93, 0.91, 0.91, 0.97	0.85, 0.85, 0.81, 0.87	0.87, 0.84, 0.87, 0.93	1.00, 1.00, 1.00, 1.00
101	train	1.09, 1.12, 1.14, 1.04	0.89, 0.83, 0.80, 1.00	0.93, 0.96, 0.94, 1.00	0.95, 0.94, 0.93, 0.97	0.93, 0.93, 0.91, 0.95	0.90, 0.91, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
101	valid	1.16, 1.11, 1.25, 1.04	0.75, 0.86, 0.57, 1.00	0.93, 0.84, 0.94, 1.00	0.88, 0.88, 0.85, 0.91	0.90, 0.90, 0.86, 0.95	0.80, 0.80, 0.81, 0.85	1.00, 1.00, 1.00, 1.00
102	train	1.09, 1.11, 1.14, 1.04	0.89, 0.86, 0.79, 1.00	0.93, 0.97, 0.95, 1.00	0.95, 0.94, 0.93, 0.97	0.94, 0.94, 0.92, 0.95	0.91, 0.91, 0.92, 0.94	1.00, 1.00, 1.00, 1.00
102	valid	1.12, 1.20, 1.16, 1.04	0.82, 0.67, 0.74, 1.00	0.90, 0.94, 0.89, 1.00	0.92, 0.90, 0.90, 0.95	0.86, 0.86, 0.83, 0.89	0.87, 0.84, 0.88, 0.93	1.00, 1.00, 1.00, 1.00
103	train	1.09, 1.10, 1.13, 1.04	0.90, 0.87, 0.81, 1.00	0.94, 0.97, 0.95, 1.00	0.95, 0.95, 0.94, 0.97	0.94, 0.94, 0.93, 0.95	0.91, 0.92, 0.92, 0.95	1.00, 1.00, 1.00, 1.00
103	valid	1.11, 1.24, 1.16, 1.04	0.86, 0.59, 0.74, 1.00	0.87, 0.96, 0.89, 1.00	0.92, 0.90, 0.91, 0.96	0.83, 0.83, 0.80, 0.85	0.87, 0.83, 0.88, 0.93	1.00, 1.00, 1.00, 1.00
104	train	1.09, 1.10, 1.13, 1.04	0.90, 0.88, 0.82, 1.00	0.94, 0.97, 0.95, 1.00	0.95, 0.95, 0.94, 0.97	0.95, 0.94, 0.93, 0.95	0.91, 0.92, 0.92, 0.95	1.00, 1.00, 1.00, 1.00
104	valid	1.11, 1.21, 1.18, 1.04	0.85, 0.66, 0.71, 1.00	0.88, 0.95, 0.90, 1.00	0.92, 0.90, 0.90, 0.96	0.86, 0.85, 0.82, 0.88	0.86, 0.83, 0.87, 0.92	1.00, 1.00, 1.00, 1.00
105	train	1.09, 1.10, 1.13, 1.04	0.91, 0.89, 0.83, 1.00	0.94, 0.97, 0.95, 1.00	0.96, 0.95, 0.94, 0.97	0.95, 0.95, 0.93, 0.96	0.92, 0.92, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
105	valid	1.12, 1.20, 1.16, 1.04	0.83, 0.68, 0.74, 1.00	0.91, 0.95, 0.89, 1.00	0.92, 0.90, 0.90, 0.95	0.86, 0.85, 0.82, 0.88	0.87, 0.84, 0.87, 0.92	1.00, 1.00, 1.00, 1.00
106	train	1.08, 1.10, 1.13, 1.04	0.91, 0.89, 0.83, 1.00	0.94, 0.97, 0.95, 1.00	0.96, 0.95, 0.94, 0.97	0.95, 0.95, 0.93, 0.96	0.92, 0.93, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
106	valid	1.11, 1.20, 1.18, 1.04	0.84, 0.67, 0.72, 1.00	0.89, 0.95, 0.90, 1.00	0.92, 0.91, 0.90, 0.96	0.85, 0.85, 0.82, 0.88	0.86, 0.83, 0.87, 0.92	1.00, 1.00, 1.00, 1.00
107	train	1.08, 1.10, 1.13, 1.04	0.91, 0.90, 0.83, 1.00	0.94, 0.98, 0.96, 1.00	0.96, 0.95, 0.94, 0.98	0.95, 0.95, 0.94, 0.96	0.92, 0.93, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
107	valid	1.11, 1.22, 1.17, 1.04	0.85, 0.64, 0.74, 1.00	0.88, 0.95, 0.90, 1.00	0.92, 0.90, 0.90, 0.96	0.84, 0.84, 0.81, 0.86	0.87, 0.83, 0.87, 0.92	1.00, 1.00, 1.00, 1.00
108	train	1.08, 1.10, 1.13, 1.04	0.91, 0.90, 0.84, 1.00	0.94, 0.98, 0.96, 1.00	0.96, 0.95, 0.94, 0.98	0.95, 0.95, 0.94, 0.96	0.92, 0.93, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
108	valid	1.11, 1.21, 1.18, 1.04	0.85, 0.66, 0.71, 1.00	0.88, 0.95, 0.91, 1.00	0.92, 0.90, 0.90, 0.96	0.85, 0.85, 0.82, 0.87	0.86, 0.83, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
109	train	1.08, 1.10, 1.12, 1.04	0.91, 0.90, 0.84, 1.00	0.95, 0.98, 0.96, 1.00	0.96, 0.95, 0.94, 0.98	0.95, 0.95, 0.94, 0.96	0.92, 0.93, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
109	valid	1.11, 1.21, 1.19, 1.04	0.85, 0.65, 0.70, 1.00	0.88, 0.95, 0.91, 1.00	0.92, 0.90, 0.90, 0.96	0.85, 0.84, 0.81, 0.87	0.86, 0.83, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
110	train	1.08, 1.09, 1.12, 1.04	0.92, 0.91, 0.84, 1.00	0.95, 0.98, 0.96, 1.00	0.96, 0.96, 0.95, 0.98	0.95, 0.95, 0.94, 0.96	0.92, 0.93, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
110	valid	1.11, 1.22, 1.17, 1.04	0.84, 0.63, 0.73, 1.00	0.88, 0.95, 0.89, 1.00	0.92, 0.90, 0.90, 0.95	0.84, 0.83, 0.81, 0.86	0.86, 0.83, 0.87, 0.92	1.00, 1.00, 1.00, 1.00
111	train	1.08, 1.09, 1.12, 1.04	0.92, 0.91, 0.84, 1.00	0.95, 0.98, 0.96, 1.00	0.96, 0.96, 0.95, 0.98	0.95, 0.95, 0.94, 0.96	0.92, 0.93, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
111	valid	1.11, 1.21, 1.18, 1.04	0.85, 0.65, 0.71, 1.00	0.88, 0.95, 0.90, 1.00	0.92, 0.90, 0.90, 0.95	0.84, 0.84, 0.82, 0.87	0.86, 0.82, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
112	train	1.08, 1.09, 1.12, 1.04	0.92, 0.91, 0.85, 1.00	0.95, 0.98, 0.96, 1.00	0.96, 0.96, 0.95, 0.98	0.95, 0.95, 0.94, 0.96	0.92, 0.93, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
112	valid	1.11, 1.22, 1.18, 1.04	0.85, 0.64, 0.72, 1.00	0.88, 0.95, 0.90, 1.00	0.92, 0.90, 0.90, 0.95	0.84, 0.83, 0.81, 0.86	0.86, 0.83, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
113	train	1.08, 1.09, 1.12, 1.04	0.92, 0.91, 0.85, 1.00	0.95, 0.98, 0.96, 1.00	0.96, 0.96, 0.95, 0.98	0.95, 0.95, 0.94, 0.96	0.92, 0.93, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
113	valid	1.11, 1.23, 1.18, 1.04	0.85, 0.61, 0.72, 1.00	0.87, 0.96, 0.90, 1.00	0.92, 0.90, 0.90, 0.96	0.83, 0.82, 0.80, 0.85	0.86, 0.82, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
114	train	1.08, 1.09, 1.12, 1.04	0.92, 0.91, 0.85, 1.00	0.95, 0.98, 0.96, 1.00	0.96, 0.96, 0.95, 0.98	0.95, 0.95, 0.94, 0.96	0.92, 0.93, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
114	valid	1.12, 1.23, 1.17, 1.04	0.84, 0.62, 0.74, 1.00	0.89, 0.95, 0.89, 1.00	0.91, 0.90, 0.90, 0.95	0.83, 0.83, 0.80, 0.85	0.86, 0.83, 0.87, 0.92	1.00, 1.00, 1.00, 1.00
115	train	1.08, 1.09, 1.12, 1.04	0.92, 0.91, 0.86, 1.00	0.95, 0.98, 0.96, 1.00	0.96, 0.96, 0.95, 0.98	0.95, 0.95, 0.94, 0.96	0.92, 0.93, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
115	valid	1.11, 1.23, 1.17, 1.04	0.85, 0.62, 0.73, 1.00	0.88, 0.95, 0.89, 1.00	0.92, 0.89, 0.90, 0.95	0.83, 0.83, 0.80, 0.85	0.86, 0.83, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
116	train	1.08, 1.09, 1.12, 1.04	0.92, 0.91, 0.86, 1.00	0.95, 0.98, 0.96, 1.00	0.96, 0.96, 0.95, 0.98	0.95, 0.95, 0.94, 0.96	0.93, 0.93, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
116	valid	1.12, 1.21, 1.17, 1.04	0.83, 0.67, 0.73, 1.00	0.90, 0.94, 0.89, 1.00	0.91, 0.89, 0.90, 0.94	0.84, 0.84, 0.81, 0.87	0.86, 0.83, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
117	train	1.08, 1.09, 1.12, 1.04	0.92, 0.92, 0.86, 1.00	0.95, 0.98, 0.96, 1.00	0.96, 0.96, 0.95, 0.98	0.95, 0.95, 0.94, 0.96	0.93, 0.93, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
117	valid	1.12, 1.21, 1.18, 1.04	0.84, 0.66, 0.71, 1.00	0.89, 0.94, 0.90, 1.00	0.91, 0.89, 0.90, 0.95	0.84, 0.84, 0.81, 0.87	0.85, 0.82, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
118	train	1.08, 1.09, 1.12, 1.04	0.93, 0.92, 0.86, 1.00	0.95, 0.98, 0.96, 1.00	0.96, 0.96, 0.95, 0.98	0.95, 0.95, 0.94, 0.96	0.93, 0.93, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
118	valid	1.12, 1.22, 1.17, 1.04	0.83, 0.64, 0.73, 1.00	0.89, 0.95, 0.89, 1.00	0.91, 0.90, 0.90, 0.95	0.83, 0.83, 0.81, 0.86	0.86, 0.83, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
119	train	1.08, 1.09, 1.12, 1.04	0.93, 0.92, 0.86, 1.00	0.95, 0.98, 0.96, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.95, 0.94, 0.96	0.93, 0.93, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
119	valid	1.10, 1.24, 1.19, 1.04	0.87, 0.59, 0.69, 1.00	0.85, 0.96, 0.91, 1.00	0.92, 0.90, 0.91, 0.96	0.82, 0.81, 0.79, 0.84	0.85, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
120	train	1.08, 1.09, 1.12, 1.04	0.93, 0.92, 0.87, 1.00	0.95, 0.98, 0.96, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.95, 0.94, 0.96	0.93, 0.93, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
120	valid	1.11, 1.23, 1.19, 1.04	0.85, 0.62, 0.70, 1.00	0.87, 0.95, 0.90, 1.00	0.92, 0.90, 0.90, 0.95	0.83, 0.83, 0.80, 0.85	0.85, 0.82, 0.86, 0.90	1.00, 1.00, 1.00, 1.00
121	train	1.08, 1.09, 1.12, 1.04	0.93, 0.92, 0.87, 1.00	0.95, 0.98, 0.96, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.95, 0.94, 0.96	0.93, 0.93, 0.93, 0.95	1.00, 1.00, 1.00, 1.00
121	valid	1.11, 1.25, 1.17, 1.04	0.86, 0.57, 0.73, 1.00	0.86, 0.96, 0.89, 1.00	0.92, 0.90, 0.90, 0.96	0.81, 0.81, 0.79, 0.83	0.86, 0.82, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
122	train	1.08, 1.09, 1.11, 1.04	0.93, 0.92, 0.87, 1.00	0.95, 0.98, 0.96, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.95, 0.95, 0.96	0.93, 0.93, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
122	valid	1.12, 1.23, 1.18, 1.04	0.84, 0.63, 0.72, 1.00	0.88, 0.95, 0.89, 1.00	0.91, 0.89, 0.90, 0.95	0.83, 0.83, 0.80, 0.85	0.85, 0.82, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
123	train	1.08, 1.09, 1.11, 1.04	0.93, 0.92, 0.87, 1.00	0.95, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.95, 0.94, 0.96	0.93, 0.93, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
123	valid	1.11, 1.24, 1.17, 1.04	0.85, 0.59, 0.73, 1.00	0.87, 0.96, 0.89, 1.00	0.91, 0.90, 0.90, 0.95	0.82, 0.82, 0.79, 0.84	0.86, 0.82, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
124	train	1.08, 1.09, 1.11, 1.04	0.93, 0.92, 0.87, 1.00	0.95, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.93, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
124	valid	1.11, 1.24, 1.17, 1.04	0.85, 0.59, 0.73, 1.00	0.88, 0.96, 0.89, 1.00	0.91, 0.89, 0.90, 0.95	0.82, 0.82, 0.79, 0.84	0.86, 0.82, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
125	train	1.08, 1.09, 1.11, 1.04	0.93, 0.92, 0.87, 1.00	0.95, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.93, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
125	valid	1.11, 1.24, 1.18, 1.04	0.86, 0.59, 0.71, 1.00	0.86, 0.96, 0.90, 1.00	0.92, 0.90, 0.90, 0.95	0.82, 0.82, 0.79, 0.84	0.85, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
126	train	1.08, 1.09, 1.11, 1.04	0.93, 0.92, 0.87, 1.00	0.95, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.93, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
126	valid	1.11, 1.25, 1.17, 1.04	0.85, 0.57, 0.74, 1.00	0.87, 0.96, 0.88, 1.00	0.91, 0.89, 0.90, 0.95	0.81, 0.81, 0.78, 0.83	0.86, 0.81, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
127	train	1.08, 1.09, 1.11, 1.04	0.93, 0.92, 0.87, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.93, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
127	valid	1.12, 1.23, 1.19, 1.04	0.85, 0.63, 0.71, 1.00	0.87, 0.95, 0.90, 1.00	0.91, 0.90, 0.90, 0.95	0.83, 0.83, 0.80, 0.85	0.85, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
128	train	1.08, 1.09, 1.11, 1.04	0.93, 0.92, 0.88, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
128	valid	1.11, 1.24, 1.18, 1.04	0.84, 0.60, 0.72, 1.00	0.88, 0.95, 0.89, 1.00	0.91, 0.89, 0.90, 0.95	0.82, 0.82, 0.79, 0.84	0.85, 0.81, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
129	train	1.08, 1.09, 1.11, 1.04	0.94, 0.92, 0.88, 1.00	0.95, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.93, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
129	valid	1.12, 1.27, 1.16, 1.04	0.84, 0.53, 0.76, 1.00	0.87, 0.97, 0.87, 1.00	0.91, 0.89, 0.90, 0.95	0.79, 0.79, 0.77, 0.81	0.87, 0.81, 0.87, 0.92	1.00, 1.00, 1.00, 1.00
130	train	1.08, 1.09, 1.11, 1.04	0.94, 0.92, 0.88, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
130	valid	1.11, 1.24, 1.18, 1.04	0.85, 0.60, 0.72, 1.00	0.87, 0.95, 0.89, 1.00	0.91, 0.89, 0.90, 0.95	0.82, 0.81, 0.79, 0.84	0.85, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
131	train	1.08, 1.09, 1.11, 1.04	0.93, 0.92, 0.88, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
131	valid	1.12, 1.22, 1.18, 1.04	0.84, 0.63, 0.71, 1.00	0.88, 0.94, 0.89, 1.00	0.91, 0.89, 0.90, 0.95	0.83, 0.83, 0.80, 0.85	0.85, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
132	train	1.08, 1.09, 1.11, 1.04	0.94, 0.92, 0.88, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
132	valid	1.11, 1.25, 1.18, 1.04	0.85, 0.57, 0.73, 1.00	0.87, 0.96, 0.89, 1.00	0.91, 0.89, 0.90, 0.95	0.81, 0.80, 0.78, 0.83	0.85, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
133	train	1.08, 1.09, 1.11, 1.04	0.94, 0.92, 0.88, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
133	valid	1.12, 1.23, 1.18, 1.04	0.84, 0.62, 0.71, 1.00	0.88, 0.95, 0.89, 1.00	0.91, 0.89, 0.90, 0.95	0.83, 0.82, 0.80, 0.85	0.85, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
134	train	1.08, 1.09, 1.11, 1.04	0.94, 0.92, 0.88, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
134	valid	1.11, 1.24, 1.18, 1.04	0.85, 0.58, 0.71, 1.00	0.87, 0.96, 0.89, 1.00	0.91, 0.89, 0.90, 0.95	0.81, 0.81, 0.78, 0.83	0.85, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
135	train	1.08, 1.09, 1.11, 1.04	0.94, 0.92, 0.88, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
135	valid	1.12, 1.23, 1.18, 1.04	0.85, 0.61, 0.71, 1.00	0.87, 0.95, 0.89, 1.00	0.91, 0.89, 0.90, 0.94	0.82, 0.82, 0.79, 0.85	0.85, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
136	train	1.08, 1.09, 1.11, 1.04	0.94, 0.92, 0.88, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
136	valid	1.11, 1.25, 1.18, 1.04	0.86, 0.57, 0.71, 1.00	0.86, 0.96, 0.89, 1.00	0.92, 0.89, 0.90, 0.95	0.81, 0.80, 0.78, 0.83	0.85, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
137	train	1.07, 1.09, 1.11, 1.04	0.94, 0.92, 0.88, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
137	valid	1.11, 1.25, 1.18, 1.04	0.86, 0.58, 0.71, 1.00	0.86, 0.96, 0.89, 1.00	0.91, 0.89, 0.90, 0.95	0.81, 0.81, 0.78, 0.83	0.85, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
138	train	1.07, 1.09, 1.11, 1.04	0.94, 0.92, 0.88, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
138	valid	1.11, 1.23, 1.19, 1.04	0.85, 0.62, 0.69, 1.00	0.87, 0.95, 0.90, 1.00	0.91, 0.90, 0.90, 0.95	0.82, 0.82, 0.79, 0.85	0.84, 0.80, 0.84, 0.89	1.00, 1.00, 1.00, 1.00
139	train	1.07, 1.09, 1.11, 1.04	0.94, 0.92, 0.88, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
139	valid	1.11, 1.24, 1.19, 1.04	0.85, 0.60, 0.70, 1.00	0.86, 0.95, 0.90, 1.00	0.91, 0.89, 0.90, 0.95	0.81, 0.81, 0.79, 0.84	0.85, 0.80, 0.85, 0.89	1.00, 1.00, 1.00, 1.00
140	train	1.07, 1.09, 1.11, 1.04	0.94, 0.92, 0.88, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
140	valid	1.12, 1.23, 1.18, 1.04	0.84, 0.62, 0.72, 1.00	0.88, 0.95, 0.89, 1.00	0.91, 0.89, 0.90, 0.94	0.82, 0.82, 0.79, 0.85	0.85, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
141	train	1.07, 1.09, 1.11, 1.04	0.94, 0.92, 0.88, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
141	valid	1.12, 1.23, 1.18, 1.04	0.84, 0.61, 0.72, 1.00	0.88, 0.95, 0.89, 1.00	0.91, 0.89, 0.90, 0.94	0.82, 0.82, 0.79, 0.84	0.85, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
142	train	1.07, 1.09, 1.11, 1.04	0.94, 0.92, 0.88, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.93, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
142	valid	1.11, 1.25, 1.19, 1.04	0.87, 0.57, 0.69, 1.00	0.85, 0.96, 0.90, 1.00	0.92, 0.89, 0.90, 0.95	0.80, 0.80, 0.77, 0.82	0.84, 0.80, 0.84, 0.89	1.00, 1.00, 1.00, 1.00
143	train	1.07, 1.09, 1.11, 1.04	0.94, 0.92, 0.89, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
143	valid	1.11, 1.24, 1.19, 1.04	0.85, 0.60, 0.70, 1.00	0.86, 0.95, 0.90, 1.00	0.91, 0.89, 0.90, 0.95	0.82, 0.82, 0.79, 0.84	0.84, 0.80, 0.84, 0.89	1.00, 1.00, 1.00, 1.00
144	train	1.07, 1.09, 1.11, 1.04	0.94, 0.92, 0.89, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.93, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
144	valid	1.11, 1.25, 1.17, 1.04	0.85, 0.56, 0.73, 1.00	0.87, 0.96, 0.88, 1.00	0.91, 0.89, 0.90, 0.95	0.80, 0.80, 0.77, 0.82	0.85, 0.80, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
145	train	1.07, 1.09, 1.11, 1.04	0.94, 0.92, 0.89, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
145	valid	1.12, 1.24, 1.18, 1.04	0.85, 0.58, 0.72, 1.00	0.87, 0.95, 0.89, 1.00	0.91, 0.89, 0.89, 0.94	0.81, 0.81, 0.78, 0.83	0.85, 0.80, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
146	train	1.07, 1.09, 1.11, 1.04	0.94, 0.92, 0.89, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
146	valid	1.12, 1.24, 1.17, 1.04	0.83, 0.60, 0.74, 1.00	0.88, 0.95, 0.88, 1.00	0.91, 0.89, 0.89, 0.94	0.81, 0.81, 0.79, 0.84	0.85, 0.81, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
147	train	1.07, 1.09, 1.11, 1.04	0.94, 0.92, 0.89, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
147	valid	1.11, 1.25, 1.18, 1.04	0.85, 0.57, 0.71, 1.00	0.86, 0.96, 0.89, 1.00	0.91, 0.89, 0.90, 0.95	0.80, 0.80, 0.78, 0.82	0.85, 0.80, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
148	train	1.07, 1.09, 1.11, 1.04	0.94, 0.92, 0.89, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
148	valid	1.12, 1.23, 1.19, 1.04	0.85, 0.62, 0.69, 1.00	0.87, 0.95, 0.90, 1.00	0.91, 0.89, 0.89, 0.94	0.82, 0.82, 0.79, 0.85	0.84, 0.80, 0.84, 0.89	1.00, 1.00, 1.00, 1.00
149	train	1.07, 1.09, 1.11, 1.04	0.94, 0.93, 0.89, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
149	valid	1.12, 1.25, 1.18, 1.04	0.85, 0.58, 0.72, 1.00	0.87, 0.96, 0.89, 1.00	0.91, 0.89, 0.90, 0.94	0.81, 0.80, 0.78, 0.83	0.85, 0.81, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
150	train	1.07, 1.09, 1.11, 1.04	0.94, 0.92, 0.89, 1.00	0.96, 0.98, 0.97, 1.00	0.96, 0.96, 0.95, 0.98	0.96, 0.96, 0.95, 0.96	0.93, 0.94, 0.94, 0.95	1.00, 1.00, 1.00, 1.00
