Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter	AUC - nonpromoter active	AUC - nonpromoter inactive	AUC - random
21	valid	1.09, 1.25, 1.21, 1.04	0.88, 0.58, 0.64, 1.00	0.82, 0.96, 0.92, 1.00	0.93, 0.90, 0.90, 0.98	0.84, 0.83, 0.80, 0.86	0.85, 0.82, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
22	train	1.10, 1.16, 1.16, 1.04	0.87, 0.76, 0.75, 1.00	0.92, 0.94, 0.93, 1.00	0.94, 0.92, 0.92, 0.96	0.90, 0.90, 0.86, 0.92	0.88, 0.87, 0.89, 0.93	1.00, 1.00, 1.00, 1.00
22	valid	1.11, 1.18, 1.22, 1.04	0.84, 0.71, 0.64, 1.00	0.88, 0.92, 0.92, 1.00	0.92, 0.90, 0.90, 0.96	0.87, 0.86, 0.82, 0.90	0.83, 0.83, 0.85, 0.89	1.00, 1.00, 1.00, 1.00
23	train	1.10, 1.16, 1.16, 1.04	0.87, 0.76, 0.75, 1.00	0.92, 0.94, 0.93, 1.00	0.94, 0.92, 0.92, 0.97	0.90, 0.90, 0.87, 0.93	0.89, 0.87, 0.90, 0.93	1.00, 1.00, 1.00, 1.00
23	valid	1.12, 1.17, 1.22, 1.04	0.84, 0.73, 0.61, 1.00	0.88, 0.91, 0.93, 1.00	0.91, 0.89, 0.89, 0.95	0.88, 0.87, 0.81, 0.91	0.83, 0.82, 0.85, 0.89	1.00, 1.00, 1.00, 1.00
24	train	1.10, 1.15, 1.16, 1.04	0.87, 0.78, 0.75, 1.00	0.92, 0.94, 0.93, 1.00	0.94, 0.92, 0.92, 0.97	0.91, 0.90, 0.87, 0.93	0.89, 0.88, 0.90, 0.93	1.00, 1.00, 1.00, 1.00
24	valid	1.17, 1.11, 1.20, 1.04	0.72, 0.84, 0.66, 1.00	0.95, 0.85, 0.92, 1.00	0.89, 0.88, 0.87, 0.92	0.90, 0.91, 0.86, 0.96	0.84, 0.85, 0.86, 0.92	1.00, 1.00, 1.00, 1.00
25	train	1.10, 1.15, 1.16, 1.04	0.87, 0.77, 0.75, 1.00	0.92, 0.95, 0.93, 1.00	0.94, 0.93, 0.92, 0.97	0.91, 0.90, 0.87, 0.93	0.89, 0.88, 0.90, 0.94	1.00, 1.00, 1.00, 1.00
25	valid	1.13, 1.19, 1.16, 1.04	0.80, 0.69, 0.74, 1.00	0.92, 0.93, 0.89, 1.00	0.91, 0.89, 0.90, 0.95	0.88, 0.87, 0.83, 0.91	0.87, 0.85, 0.88, 0.94	1.00, 1.00, 1.00, 1.00
26	train	1.10, 1.15, 1.15, 1.04	0.87, 0.78, 0.77, 1.00	0.92, 0.95, 0.93, 1.00	0.94, 0.93, 0.93, 0.97	0.91, 0.91, 0.87, 0.93	0.89, 0.88, 0.90, 0.94	1.00, 1.00, 1.00, 1.00
26	valid	1.09, 1.22, 1.22, 1.05	0.89, 0.63, 0.61, 0.99	0.82, 0.95, 0.93, 1.00	0.92, 0.90, 0.91, 0.97	0.85, 0.84, 0.80, 0.87	0.84, 0.81, 0.84, 0.88	1.00, 1.00, 1.00, 1.00
27	train	1.10, 1.14, 1.16, 1.04	0.87, 0.79, 0.76, 1.00	0.92, 0.95, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.91, 0.91, 0.88, 0.93	0.89, 0.88, 0.90, 0.93	1.00, 1.00, 1.00, 1.00
27	valid	1.11, 1.19, 1.19, 1.04	0.84, 0.69, 0.69, 1.00	0.89, 0.93, 0.91, 1.00	0.92, 0.89, 0.90, 0.96	0.87, 0.86, 0.82, 0.90	0.85, 0.83, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
28	train	1.10, 1.15, 1.16, 1.04	0.88, 0.78, 0.77, 1.00	0.92, 0.95, 0.94, 1.00	0.94, 0.92, 0.92, 0.97	0.91, 0.91, 0.88, 0.93	0.89, 0.88, 0.90, 0.93	1.00, 1.00, 1.00, 1.00
28	valid	1.12, 1.18, 1.19, 1.04	0.83, 0.72, 0.70, 1.00	0.90, 0.93, 0.91, 1.00	0.91, 0.89, 0.90, 0.95	0.88, 0.87, 0.83, 0.91	0.85, 0.84, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
29	train	1.10, 1.14, 1.16, 1.04	0.87, 0.79, 0.76, 1.00	0.92, 0.95, 0.94, 1.00	0.94, 0.93, 0.92, 0.97	0.91, 0.91, 0.88, 0.94	0.89, 0.88, 0.90, 0.93	1.00, 1.00, 1.00, 1.00
29	valid	1.10, 1.16, 1.23, 1.04	0.85, 0.74, 0.58, 1.00	0.87, 0.91, 0.94, 1.00	0.93, 0.91, 0.90, 0.97	0.90, 0.89, 0.84, 0.93	0.84, 0.83, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
30	train	1.10, 1.14, 1.16, 1.04	0.88, 0.79, 0.77, 1.00	0.92, 0.95, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.91, 0.91, 0.88, 0.93	0.89, 0.88, 0.90, 0.93	1.00, 1.00, 1.00, 1.00
30	valid	1.17, 1.10, 1.30, 1.04	0.73, 0.87, 0.46, 1.00	0.94, 0.78, 0.95, 1.00	0.87, 0.86, 0.86, 0.89	0.90, 0.89, 0.81, 0.95	0.76, 0.77, 0.77, 0.81	1.00, 1.00, 1.00, 1.00
31	train	1.10, 1.14, 1.15, 1.04	0.87, 0.79, 0.78, 1.00	0.92, 0.95, 0.93, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.91, 0.88, 0.94	0.89, 0.89, 0.90, 0.94	1.00, 1.00, 1.00, 1.00
31	valid	1.12, 1.17, 1.21, 1.04	0.83, 0.71, 0.64, 1.00	0.88, 0.92, 0.92, 1.00	0.91, 0.88, 0.90, 0.95	0.88, 0.87, 0.82, 0.91	0.84, 0.83, 0.85, 0.90	1.00, 1.00, 1.00, 1.00
32	train	1.10, 1.14, 1.15, 1.04	0.87, 0.80, 0.77, 1.00	0.92, 0.95, 0.94, 1.00	0.94, 0.93, 0.92, 0.97	0.92, 0.91, 0.89, 0.94	0.89, 0.89, 0.90, 0.93	1.00, 1.00, 1.00, 1.00
32	valid	1.11, 1.18, 1.19, 1.04	0.83, 0.71, 0.68, 1.00	0.89, 0.93, 0.91, 1.00	0.92, 0.90, 0.90, 0.96	0.87, 0.87, 0.83, 0.90	0.85, 0.83, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
33	train	1.10, 1.14, 1.15, 1.04	0.88, 0.81, 0.77, 1.00	0.92, 0.95, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.92, 0.89, 0.94	0.89, 0.89, 0.90, 0.93	1.00, 1.00, 1.00, 1.00
33	valid	1.11, 1.27, 1.19, 1.04	0.85, 0.53, 0.70, 1.00	0.84, 0.97, 0.89, 0.98	0.91, 0.89, 0.88, 0.96	0.81, 0.81, 0.79, 0.83	0.86, 0.81, 0.86, 0.91	1.00, 1.00, 1.00, 1.00
34	train	1.10, 1.14, 1.15, 1.04	0.88, 0.81, 0.77, 1.00	0.93, 0.95, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.92, 0.89, 0.94	0.89, 0.89, 0.90, 0.94	1.00, 1.00, 1.00, 1.00
34	valid	1.15, 1.10, 1.29, 1.08	0.77, 0.86, 0.46, 0.97	0.92, 0.81, 0.96, 1.00	0.90, 0.89, 0.88, 0.92	0.91, 0.90, 0.83, 0.96	0.79, 0.80, 0.81, 0.84	1.00, 1.00, 1.00, 1.00
35	train	1.10, 1.14, 1.15, 1.04	0.88, 0.80, 0.78, 1.00	0.93, 0.95, 0.94, 1.00	0.94, 0.93, 0.93, 0.97	0.92, 0.92, 0.89, 0.94	0.90, 0.89, 0.91, 0.94	1.00, 1.00, 1.00, 1.00
